solution_id,sensor,algorithm,data_rate_Hz,geometric_LOD,condition_LOD,detection_threshold,storage,communication,deployment,crew_size,inspection_cycle_days,f1_total_cost_USD,f2_one_minus_recall,f3_latency_seconds,f4_traffic_disruption_hours,f5_carbon_emissions_kgCO2e_year,f6_system_reliability_inverse_MTBF,detection_recall,system_MTBF_hours,system_MTBF_years,annual_cost_USD,cost_per_km_year,carbon_footprint_tons_CO2_year,is_feasible,sensor_type,algo_type,storage_type,comm_type,deploy_type,raw_data_gb_per_year,sent_data_gb_per_year,data_reduction_ratio,lod_data_multiplier,rate_data_multiplier,comm_bandwidth_GBps,comm_time_seconds,compute_seconds_per_GB,deployment_compute_factor,compute_time_seconds,base_algo_recall,sensor_precision,lod_bonus,sigmoid_z,tau,tau0,cost_rank,recall_rank,carbon_rank,reliability_rank,latency_rank,disruption_rank
26,Vehicle_Smartphone_System,Traditional_Canny_Optimized,10.000604670014111,Macro,Micro,0.5553200123091339,Storage_PostgreSQL_PostGIS,Communication_5G_SmallCell,Deployment_Jetson_AGX_Orin,1,87,527563.0747889328,0.1167018958178454,66.05974462113159,2.8598872861795104,174.1830090268938,0.0005595695860656207,0.8832981041821546,1787.0878348322706,0.20400546059729116,52756.30747889328,263.7815373944664,0.17418300902689382,True,Vehicle,Traditional,Hot,5G,default,4.1956559822473,2.93695918757311,0.7,0.5,0.20001209340028223,0.125,5.600338615207902,0.5,1.5,0.5250317451757408,0.68,0.7,-0.4,2.0240399630725983,0.5553200123091339,0.5,1.0,23.0,17.0,26.0,8.0,9.0
15,Vehicle_Smartphone_System,Traditional_Otsu_Enhanced,61.92880855525439,Macro,Micro,0.14800730412399235,Storage_PostgreSQL_PostGIS,Communication_V2X_RSU,Deployment_Jetson_AGX_Orin,1,131,643134.7106371832,0.040000000000000036,99.24650667655857,1.8993144572337206,122.90239733795346,0.0005575854590814937,0.96,1793.4470558957767,0.20473139907486035,64313.471063718316,321.5673553185916,0.12290239733795345,True,Vehicle,Traditional,Hot,V2X,default,17.25497337608233,12.07848136325763,0.7,0.5,1.2385761711050878,0.00125,3468.0132790942453,0.5,1.5,3.251262449150855,0.65,0.7,-0.4,3.215622130404295,0.14800730412399235,0.5,2.0,7.5,9.0,25.0,23.0,7.0
3,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,11.45321250251861,Macro,Micro,0.4396239658593126,Storage_PostgreSQL_PostGIS,Communication_5G_SmallCell,Deployment_Jetson_OrinNano,1,106,657673.6296188566,0.08540098477676206,67.36845293715947,4.790338735033064,163.40078639891593,0.0001874423501676566,0.9145990152232379,5334.9736551294645,0.6090152574348704,65767.36296188566,328.83681480942835,0.16340078639891592,True,Camera,Traditional,Hot,5G,default,78.87589742300553,55.21312819610387,0.7,0.5,0.2290642500503722,0.125,128.27598002820844,0.5,1.5,12.025873127644541,0.68,0.7,-0.4,2.371128102422062,0.4396239658593126,0.5,3.0,18.0,14.0,17.0,16.0,12.0
1,Vehicle_Accelerometer_Pro,Traditional_Canny_Optimized,10.665305467642598,Micro,Micro,0.320596586336401,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Jetson_OrinNano,1,15,758623.6835166857,0.040000000000000036,66.09497566785309,15.797472628420149,957.8683199490097,0.00020939414746912942,0.96,4775.6826639456485,0.545169253875074,75862.36835166857,379.31184175834284,0.9578683199490097,True,Vehicle,Traditional,Hybrid,5G,default,37.37123035861966,26.159861251033764,0.7,1.8,0.21330610935285196,0.125,8.600502329106991,0.5,1.5,0.8062970933537804,0.68,0.7,0.6,3.728210240990797,0.320596586336401,0.5,4.0,7.5,25.0,18.5,10.0,24.0
18,Vehicle_Accelerometer_Pro,Traditional_Canny_Optimized,10.207098323383631,Macro,Micro,0.13023486157329145,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Jetson_OrinNano,1,32,779872.1093698359,0.040000000000000036,66.02439129401893,7.405065294571944,478.2404024037476,0.00020939414746912942,0.96,4775.6826639456485,0.545169253875074,77987.2109369836,389.93605468491796,0.4782404024037476,True,Vehicle,Traditional,Hybrid,5G,default,4.656988610043782,3.2598920270306473,0.7,0.5,0.20414196646767263,0.125,2.2863900244379334,0.5,1.5,0.21434906479105625,0.68,0.7,-0.4,3.2992954152801257,0.13023486157329145,0.5,5.0,7.5,23.0,18.5,7.0,17.0
17,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,58.65791193964985,Macro,Micro,0.12484421307885914,Storage_AWS_S3_Glacier,Communication_5G_SmallCell,Deployment_Cloud_GPU_A4000,1,108,808741.2716574897,0.040000000000000036,79.90958531619049,4.701628758458378,162.33498652686924,0.00017533708806239447,0.96,5703.299918179008,0.6510616344953206,80874.12716574897,404.37063582874487,0.16233498652686926,True,Camera,Traditional,Archive,5G,Cloud,396.4840344068926,396.4840344068926,1.0,0.5,1.173158238792997,0.125,938.5265910343977,0.5,1.0,58.65791193964986,0.68,0.7,-0.4,3.358756920461672,0.12484421307885914,0.5,6.0,7.5,13.0,16.0,21.0,11.0
13,Vehicle_Smartphone_System,Traditional_Canny_Optimized,10.785368274101163,Macro,Meso,0.5690470968946588,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Jetson_OrinNano,1,83,931533.0636468041,0.1567172996166205,66.06443287806715,2.9977131794893657,181.585467169281,0.00023320367127865324,0.8432827003833795,4288.097157806353,0.4895088079687617,93153.30636468041,465.76653182340203,0.181585467169281,True,Vehicle,Traditional,Hybrid,5G,default,4.742963156683041,3.3200742096781286,0.7,0.5,0.21570736548202327,0.125,6.039806233496651,0.5,1.5,0.566231834390311,0.68,0.7,-0.4,1.6828587093160237,0.5690470968946588,0.5,7.0,25.0,18.0,23.0,9.0,10.0
20,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,10.412215343386022,Macro,Micro,0.2957475627386337,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Jetson_AGX_Orin,1,74,985698.0247787904,0.05717535770932414,67.2440724963289,6.861836566398713,217.86240587503326,0.00010258019477918541,0.9428246422906759,9748.470473784968,1.1128390951809324,98569.80247787904,492.8490123893952,0.21786240587503325,True,Camera,Traditional,Hybrid,5G,default,102.71509730637563,71.90056811446293,0.7,0.5,0.20824430686772044,0.125,116.61681184592344,0.5,1.5,10.932826110555322,0.68,0.7,-0.4,2.8027573117840987,0.2957475627386337,0.5,8.0,16.0,19.0,11.5,14.0,14.0
19,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,11.461659605902188,Macro,Micro,0.4102964089129162,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Intel_NUC_Extreme,1,39,993447.3186271689,0.07877484362656306,67.36946221411415,13.019895023423203,387.439268324541,0.00010207894164635332,0.9212251563734369,9796.339811833503,1.1183036314878427,99344.73186271689,496.72365931358445,0.387439268324541,True,Camera,Traditional,Hybrid,5G,default,214.53875672586148,150.17712970810302,0.7,0.5,0.22923319211804377,0.125,128.3705875861045,0.5,1.5,12.034742586197297,0.68,0.7,-0.4,2.4591107732612514,0.4102964089129162,0.5,9.0,17.0,21.0,9.0,17.0,22.0
23,Camera_Basler_ace2Pro,Traditional_Canny_Optimized,10.430626913549577,Macro,Micro,0.148727802540043,Storage_Hybrid_Tiered,Communication_5G_SmallCell,Deployment_Jetson_AGX_Orin,1,36,994543.0171087465,0.040000000000000036,67.24627234787819,14.104886275375133,416.18028360968077,0.00010258019477918541,0.96,9748.470473784968,1.1128390951809324,99454.30171087464,497.2715085543732,0.4161802836096808,True,Camera,Traditional,Hybrid,5G,default,211.50993463586644,148.0569542451065,0.7,0.5,0.20861253827099155,0.125,116.82302143175527,0.5,1.5,10.952158259227057,0.68,0.7,-0.4,3.2438165923798707,0.148727802540043,0.5,10.0,7.5,22.0,11.5,15.0,23.0
